rowNo,subjectGroup,type,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,block,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode,id,age,sex,handedness,fps_start,fps_M,fps_SD
116,3,test,penguin_1,.png,noise6.mp3,3,400,700,,,,animate image,inanimate image,,,,,encoding,control,animate,penguin,,700,42,16.67,400,24,16.67,204706,1,1272,,913842135,,,,,,
115,3,test,dog_2,.png,trainA.mp3,3,400,700,,,,animate image,inanimate image,,,,,encoding,incongruent,animate,dog,,700,42,16.67,400,24,16.67,206652,1,1014,,913842135,,,,,,
96,3,test,wolf_1,.png,noise1.mp3,3,400,700,,,,animate image,inanimate image,,,,,encoding,control,animate,wolf,,700,42,16.67,400,24,16.67,208663,1,1087,,913842135,,,,,,
121,3,test,stapler_1,.png,noise10.mp3,3,400,700,,,,animate image,inanimate image,,,,,encoding,control,inanimate,stapler,,700,42,16.67,400,24,16.67,210773,2,1174,,913842135,,,,,,
132,3,test,cat_1,.png,catA.mp3,3,400,700,,,,animate image,inanimate image,,,,,encoding,congruent,animate,cat,,700,42,16.67,400,24,16.67,213097,1,1412,,913842135,,,,,,
128,3,test,leopard_1,.png,noise7.mp3,3,400,700,,,,animate image,inanimate image,,,,,encoding,control,animate,leopard,,700,42,16.67,400,24,16.67,215131,1,1106,,913842135,,,,,,
102,3,test,chicken_1,.png,chickenA.mp3,3,400,700,,,,animate image,inanimate image,,,,,encoding,congruent,animate,chicken,,700,42,16.67,400,24,16.67,217185,1,1123,,913842135,,,,,,
103,3,test,car_3,.png,carA.mp3,3,400,700,,,,animate image,inanimate image,,,,,encoding,congruent,inanimate,car,,700,42,16.67,400,24,16.67,219508,2,1301,,913842135,,,,,,
118,3,test,deer_4,.png,washerA.mp3,3,400,700,,,,animate image,inanimate image,,,,,encoding,incongruent,animate,deer,,700,42,16.67,400,24,16.67,221585,1,1124,,913842135,,,,,,
92,3,test,hammer_3,.png,ratA.mp3,3,400,700,,,,animate image,inanimate image,,,,,encoding,incongruent,inanimate,hammer,,700,42,16.67,400,24,16.67,223787,2,1288,,913842135,,,,,,
95,3,test,motorcycle_1,.png,wolfA.mp3,3,400,700,,,,animate image,inanimate image,,,,,encoding,incongruent,inanimate,motorcycle,,700,42,16.67,400,24,16.67,225712,2,998,,913842135,,,,,,
107,3,test,pig_3,.png,noise5.mp3,3,400,700,,,,animate image,inanimate image,,,,,encoding,control,animate,pig,,700,42,16.67,400,24,16.67,227692,1,1008,,913842135,,,,,,
114,3,test,goat_3,.png,sawA.mp3,3,400,700,,,,animate image,inanimate image,,,,,encoding,incongruent,animate,goat,,700,42,16.67,400,24,16.67,229826,1,1206,,913842135,,,,,,
