subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration,id,age,sex,handedness,fps_start,fps_M,fps_SD
"1",Chrome,85.0.4183.121,1920,1080,Windows,en-US,2020-10-05_18:10:22,2020-10-05_11:10:22,https://www.testable.org/experiment/4629/578421/start,0.6,"916908199","20",male,right-handed,"59.95","59.51","0.22"

rowNo,subjectGroup,type,block,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
2,"",form,"","","","","","","",dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,"","","","","","1","","","","1",,"","","","","",74297,Asian,6940,"2"
3,"",form,"","","","","","","",dropdown,yes;no,Do you identify as Hispanic,"","","","","","1","","","","1",,"","","","","",74297,no,6940,"2"
23,"1",test,encoding,cow_2,.png,motorcycleA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,cow,"",700,42,"16.66","400","24","16.67",198465,"1",711,""
48,"1",test,encoding,drum_2,.png,noise13.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,drum,"",700,42,"16.66","400","24","16.66",200075,"2",719,""
44,"1",test,encoding,keyboard_2,.png,noise9.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,keyboard,"",700,42,"16.66","400","24","16.67",201601,"2",629,""
46,"1",test,encoding,hammer_3,.png,noise11.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,hammer,"",700,42,"16.67","400","24","16.67",203095,"2",603,""
36,"1",test,encoding,horse_1,.png,noise1.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,horse,"",700,42,"16.67","400","24","16.67",204733,"1",748,""
40,"1",test,encoding,elephant_1,.png,noise5.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,elephant,"",700,42,"16.66","400","24","16.67",206348,"1",712,""
43,"1",test,encoding,motorcycle_1,.png,noise8.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,motorcycle,"",700,42,"16.66","400","24","16.67",207845,"2",603,""
47,"1",test,encoding,guitar_3,.png,noise12.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,guitar,"",700,42,"16.67","400","24","16.67",209357,"2",623,""
26,"1",test,encoding,bird_1,.png,hammerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,bird,"",700,42,"16.67","400","24","16.67",210759,"1",702,""
9,"1",test,encoding,tiger_1,.png,tigerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,tiger,"",700,42,"16.67","400","24","16.67",212311,"1",647,""
32,"1",test,encoding,camera_1,.png,frogA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,camera,"",700,42,"16.67","400","24","16.67",213901,"2",697,""
28,"1",test,encoding,bat_1,.png,drumA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,bat,"",700,42,"16.67","400","24","16.67",215763,"1",973,""
11,"1",test,encoding,rat_1,.png,ratA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,rat,"",700,42,"16.66","400","24","16.67",217394,"1",739,""
14,"1",test,encoding,leopard_1,.png,leopardA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,leopard,"",700,42,"16.67","400","24","16.67",218872,"1",568,""
167,"1",test,recognition,smartphone_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,smartphone,"",700,42,"16.67","400","24","16.67",256441,"4",12624,""
176,"1",test,recognition,leopard_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",congruent,animate,leopard,"",700,42,"16.67","400","24","16.66",265066,"1",7935,""
137,"1",test,recognition,snake_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",congruent,animate,snake,"",700,42,"16.67","400","24","16.66",271197,"1",5433,""
174,"1",test,recognition,car_3,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,car,"",700,42,"16.67","400","24","16.67",275585,"2",3689,""
154,"1",test,recognition,butterfly_4,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,animate,butterfly,"",700,42,"16.67","400","24","16.67",280265,"4",3985,""
172,"1",test,recognition,bear_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,animate,bear,"",700,42,"16.67","400","24","16.67",283535,"1",2571,""
182,"1",test,recognition,bus_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,inanimate,bus,"",700,42,"16.67","400","24","16.66",285781,"4",1551,""
177,"1",test,recognition,goat_3,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,animate,goat,"",700,42,"16.67","400","24","16.67",287547,"1",1067,""
152,"1",test,recognition,dog_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,animate,dog,"",700,42,"16.67","400","24","16.67",289260,"1",1013,""
136,"1",test,recognition,camera_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,camera,"",700,42,"16.67","400","24","16.66",291136,"1",1173,""
160,"1",test,recognition,chicken_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,animate,chicken,"",700,42,"16.67","400","24","16.67",292748,"1",918,""
179,"1",test,recognition,radio_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,inanimate,radio,"",700,42,"16.66","400","24","16.66",295140,"4",1688,""
192,"1",test,recognition,coins_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,inanimate,coins,"",700,42,"16.67","400","24","16.67",298578,"4",2742,""
175,"1",test,recognition,stapler_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,stapler,"",700,42,"16.67","400","24","16.67",301965,"1",2686,""
158,"1",test,recognition,train_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,train,"",700,42,"16.66","400","24","16.67",305207,"1",2532,""
157,"1",test,recognition,bicycle_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,bicycle,"",700,42,"16.67","400","24","16.67",306930,"1",1016,""
142,"1",test,recognition,watering_can_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,inanimate,watering_can,"",700,42,"16.67","400","24","16.67",308690,"4",1049,""
156,"1",test,recognition,hammer_3,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,inanimate,hammer,"",700,42,"16.67","400","24","16.67",316671,"1",7291,""
168,"1",test,recognition,cat_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,animate,cat,"",700,42,"16.67","400","24","16.67",318316,"1",941,""
139,"1",test,recognition,motorcycle_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,inanimate,motorcycle,"",700,42,"16.66","400","24","16.66",321561,"1",2548,""
178,"1",test,recognition,walkie_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,inanimate,walkie,"",700,42,"16.67","400","24","16.66",323338,"4",1075,""
189,"1",test,recognition,cymbal_ride_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,cymbal_ride,"",700,42,"16.67","400","24","16.66",327449,"4",3418,""
166,"1",test,recognition,whale_5,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,animate,whale,"",700,42,"16.67","400","24","16.67",329434,"4",1282,""
164,"1",test,recognition,frog_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,animate,frog,"",700,42,"16.67","400","24","16.67",331086,"1",957,""
171,"1",test,recognition,shark_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,animate,shark,"",700,42,"16.67","400","24","16.66",332956,"4",1176,""
163,"1",test,recognition,tiger_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",congruent,animate,tiger,"",700,42,"16.67","400","24","16.67",334815,"1",1169,""
151,"1",test,recognition,wolf_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",congruent,animate,wolf,"",700,42,"16.66","400","24","16.66",336475,"1",953,""
180,"1",test,recognition,rabbit_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,animate,rabbit,"",700,42,"16.67","400","24","16.67",339393,"1",2213,""
135,"1",test,recognition,jet_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,inanimate,jet,"",700,42,"16.66","400","24","16.67",342008,"2",1900,""
141,"1",test,recognition,drum_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,inanimate,drum,"",700,42,"16.67","400","24","16.67",344574,"4",1861,""
191,"1",test,recognition,bell_5,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,bell,"",700,42,"16.67","400","24","16.66",346373,"2",1093,""
140,"1",test,recognition,elephant_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,animate,elephant,"",700,42,"16.66","400","24","16.67",347893,"1",830,""
148,"1",test,recognition,horse_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,animate,horse,"",700,42,"16.67","400","24","16.67",349629,"1",1024,""
155,"1",test,recognition,tape_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,inanimate,tape,"",700,42,"16.66","400","24","16.66",351188,"4",862,""
188,"1",test,recognition,rat_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",congruent,animate,rat,"",700,42,"16.67","400","24","16.67",352867,"1",988,""
165,"1",test,recognition,bat_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,animate,bat,"",700,42,"16.67","400","24","16.67",354607,"1",1043,""
181,"1",test,recognition,deer_4,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,animate,deer,"",700,42,"16.67","400","24","16.66",356805,"1",1492,""
190,"1",test,recognition,rhino_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,animate,rhino,"",700,42,"16.67","400","24","16.66",358261,"1",765,""
162,"1",test,recognition,cow_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,animate,cow,"",700,42,"16.67","400","24","16.66",359830,"2",866,""
143,"1",test,recognition,record_player_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,inanimate,record_player,"",700,42,"16.67","400","24","16.66",361539,"4",1009,""
194,"1",test,recognition,drill_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,inanimate,drill,"",700,42,"16.67","400","24","16.67",363331,"4",1103,""
170,"1",test,recognition,saw_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,saw,"",700,42,"16.67","400","24","16.67",365026,"4",990,""
184,"1",test,recognition,boat_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,boat,"",700,42,"16.66","400","24","16.66",366919,"1",1188,""
185,"1",test,recognition,door_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,door,"",700,42,"16.67","400","24","16.65",368625,"4",1011,""
146,"1",test,recognition,pig_3,.png,"","4","400","700","","","",same,different,nonsense,new,"","",congruent,animate,pig,"",700,42,"16.67","400","24","16.66",370670,"1",1340,""
147,"1",test,recognition,wrench_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,inanimate,wrench,"",700,42,"16.67","400","24","16.66",372257,"4",894,""
161,"1",test,recognition,piano_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,piano,"",700,42,"16.67","400","24","16.67",375113,"4",2150,""
186,"1",test,recognition,scissors_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,scissors,"",700,42,"16.66","400","24","16.66",376817,"1",1005,""
149,"1",test,recognition,bird_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,animate,bird,"",700,42,"16.66","400","24","16.67",378563,"1",1050,""
138,"1",test,recognition,crab_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,animate,crab,"",700,42,"16.67","400","24","16.67",380425,"4",1163,""
144,"1",test,recognition,keyboard_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,inanimate,keyboard,"",700,42,"16.67","400","24","16.66",382701,"4",1572,""
153,"1",test,recognition,fish_4,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,animate,fish,"",700,42,"16.67","400","24","16.66",384622,"2",1226,""
193,"1",test,recognition,salamander_3,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,animate,salamander,"",700,42,"16.66","400","24","16.66",386657,"4",1344,""
187,"1",test,recognition,laptop_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,inanimate,laptop,"",700,42,"16.67","400","24","16.66",388514,"4",1151,""
145,"1",test,recognition,washer_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,washer,"",700,42,"16.67","400","24","16.66",390182,"4",972,""
183,"1",test,recognition,guitar_3,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,inanimate,guitar,"",700,42,"16.67","400","24","16.67",392350,"1",1464,""
173,"1",test,recognition,crocodile_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,animate,crocodile,"",700,42,"16.66","400","24","16.67",394247,"1",1200,""
169,"1",test,recognition,camel_3,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,animate,camel,"",700,42,"16.67","400","24","16.66",396092,"4",1146,""
