browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration
Chrome,84.0.4147.105,2560,1440,MacOS,en-US,2020-08-07_20:27:19,2020-08-07_13:27:19,https://www.testable.org/experiment/4629/283054/start,0.86

rowNo,type,stim1,stimFormat,ITI,responseType,responseOptions,trialText,object_shown,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,responseCode
227,test,laptop_3,.png,"800",slider,0_10_1,How typical is this orientation?,laptop,801,48,"16.68",1173235,"9",1989,9
228,test,laptop_4,.png,"800",slider,0_10_1,How typical is this orientation?,laptop,801,48,"16.68",1176270,"10",2221,10
229,test,laptop_5,.png,"800",slider,0_10_1,How typical is this orientation?,laptop,801,48,"16.68",1180581,"2",3496,2
230,test,camel_1,.png,"800",slider,0_10_1,How typical is this orientation?,camel,801,48,"16.68",1185051,"4",3647,4
231,test,camel_2,.png,"800",slider,0_10_1,How typical is this orientation?,camel,801,48,"16.68",1188671,"10",2812,10
232,test,camel_3,.png,"800",slider,0_10_1,How typical is this orientation?,camel,801,48,"16.68",1191404,"10",1910,10
233,test,camel_4,.png,"800",slider,0_10_1,How typical is this orientation?,camel,801,48,"16.68",1193791,"10",1580,10
234,test,camel_5,.png,"800",slider,0_10_1,How typical is this orientation?,camel,801,48,"16.68",1196529,"10",1929,10
235,test,coins_1,.png,"800",slider,0_10_1,How typical is this orientation?,coins,801,48,"16.68",1198997,"10",1645,10
236,test,coins_2,.png,"800",slider,0_10_1,How typical is this orientation?,coins,801,48,"16.68",1201078,"10",1260,10
237,test,coins_3,.png,"800",slider,0_10_1,How typical is this orientation?,coins,801,48,"16.68",1203660,"10",1772,10
238,test,coins_4,.png,"800",slider,0_10_1,How typical is this orientation?,coins,801,48,"16.68",1206703,"10",2229,10
239,test,coins_5,.png,"800",slider,0_10_1,How typical is this orientation?,coins,801,48,"16.68",1209587,"10",2076,10
240,test,hammer_1,.png,"800",slider,0_10_1,How typical is this orientation?,hammer,801,48,"16.68",1212439,"4",2044,4
241,test,hammer_2,.png,"800",slider,0_10_1,How typical is this orientation?,hammer,801,48,"16.68",1215243,"10",1997,10
242,test,hammer_3,.png,"800",slider,0_10_1,How typical is this orientation?,hammer,801,48,"16.68",1218847,"10",2799,10
243,test,hammer_4,.png,"800",slider,0_10_1,How typical is this orientation?,hammer,801,48,"16.68",1223605,"7",3936,7
244,test,hammer_5,.png,"800",slider,0_10_1,How typical is this orientation?,hammer,801,48,"16.68",1226689,"10",2266,10
245,test,jet_1,.png,"800",slider,0_10_1,How typical is this orientation?,jet,801,48,"16.68",1229733,"10",2223,10
246,test,jet_2,.png,"800",slider,0_10_1,How typical is this orientation?,jet,801,48,"16.68",1233105,"6",2561,6
247,test,jet_3,.png,"800",slider,0_10_1,How typical is this orientation?,jet,801,48,"16.68",1236261,"6",2347,6
248,test,jet_4,.png,"800",slider,0_10_1,How typical is this orientation?,jet,801,48,"16.68",1240731,"10",3648,10
249,test,jet_5,.png,"800",slider,0_10_1,How typical is this orientation?,jet,801,48,"16.68",1244521,"8",2967,8
250,test,dog_1,.png,"800",slider,0_10_1,How typical is this orientation?,dog,801,48,"16.68",1247293,"3",1952,3
251,test,dog_2,.png,"800",slider,0_10_1,How typical is this orientation?,dog,801,48,"16.68",1249936,"10",1827,10
252,test,dog_3,.png,"800",slider,0_10_1,How typical is this orientation?,dog,801,48,"16.68",1252275,"10",1529,10
253,test,dog_4,.png,"800",slider,0_10_1,How typical is this orientation?,dog,801,48,"16.68",1255704,"7",2607,7
254,test,dog_5,.png,"800",slider,0_10_1,How typical is this orientation?,dog,801,48,"16.68",1258812,"10",2297,10
255,test,crocodile_1,.png,"800",slider,0_10_1,How typical is this orientation?,crocodile,801,48,"16.68",1273843,"6",14224,6
256,test,crocodile_2,.png,"800",slider,0_10_1,How typical is this orientation?,crocodile,801,48,"16.68",1279193,"10",4530,10
257,test,crocodile_3,.png,"800",slider,0_10_1,How typical is this orientation?,crocodile,801,48,"16.68",1288626,"5",8624,5
258,test,crocodile_4,.png,"800",slider,0_10_1,How typical is this orientation?,crocodile,801,48,"16.68",1291614,"10",2172,10
259,test,crocodile_5,.png,"800",slider,0_10_1,How typical is this orientation?,crocodile,801,48,"16.68",1295218,"9",2789,9
260,test,scissors_1,.png,"800",slider,0_10_1,How typical is this orientation?,scissors,801,48,"16.68",1297989,"10",1957,10
261,test,scissors_2,.png,"800",slider,0_10_1,How typical is this orientation?,scissors,801,48,"16.68",1300729,"10",1930,10
262,test,scissors_3,.png,"800",slider,0_10_1,How typical is this orientation?,scissors,801,48,"16.68",1303195,"10",1643,10
263,test,scissors_4,.png,"800",slider,0_10_1,How typical is this orientation?,scissors,801,48,"16.68",1306562,"6",2558,6
264,test,scissors_5,.png,"800",slider,0_10_1,How typical is this orientation?,scissors,801,48,"16.68",1309284,"6",1909,6
265,test,goat_1,.png,"800",slider,0_10_1,How typical is this orientation?,goat,801,48,"16.68",1312056,"5",1965,5
266,test,goat_2,.png,"800",slider,0_10_1,How typical is this orientation?,goat,801,48,"16.68",1314668,"4",1790,4
267,test,goat_3,.png,"800",slider,0_10_1,How typical is this orientation?,goat,801,48,"16.68",1316925,"10",1447,10
268,test,goat_4,.png,"800",slider,0_10_1,How typical is this orientation?,goat,801,48,"16.68",1319570,"10",1838,10
269,test,goat_5,.png,"800",slider,0_10_1,How typical is this orientation?,goat,801,48,"16.68",1322438,"8",2053,8
270,test,motorcycle_1,.png,"800",slider,0_10_1,How typical is this orientation?,motorcycle,801,48,"16.68",1325897,"10",2644,10
271,test,motorcycle_2,.png,"800",slider,0_10_1,How typical is this orientation?,motorcycle,801,48,"16.68",1330191,"10",3485,10
272,test,motorcycle_3,.png,"800",slider,0_10_1,How typical is this orientation?,motorcycle,801,48,"16.68",1333558,"10",2549,10
273,test,motorcycle_4,.png,"800",slider,0_10_1,How typical is this orientation?,motorcycle,801,48,"16.68",1336102,"10",1723,10
274,test,motorcycle_5,.png,"800",slider,0_10_1,How typical is this orientation?,motorcycle,801,48,"16.68",1341319,"7",4406,7
275,test,rhino_1,.png,"800",slider,0_10_1,How typical is this orientation?,rhino,801,48,"16.68",1347168,"5",5033,5
276,test,rhino_2,.png,"800",slider,0_10_1,How typical is this orientation?,rhino,801,48,"16.68",1350117,"10",2128,10
277,test,rhino_3,.png,"800",slider,0_10_1,How typical is this orientation?,rhino,799,48,"16.65",1353679,"6",2755,6
278,test,rhino_4,.png,"800",slider,0_10_1,How typical is this orientation?,rhino,801,48,"16.68",1356628,"10",2131,10
279,test,rhino_5,.png,"800",slider,0_10_1,How typical is this orientation?,rhino,801,48,"16.68",1359462,"10",2014,10
280,test,shark_1,.png,"800",slider,0_10_1,How typical is this orientation?,shark,801,48,"16.68",1362932,"7",2650,7
281,test,shark_2,.png,"800",slider,0_10_1,How typical is this orientation?,shark,801,48,"16.68",1365663,"10",1910,10
282,test,shark_3,.png,"800",slider,0_10_1,How typical is this orientation?,shark,801,48,"16.68",1371824,"10",5353,10
283,test,shark_4,.png,"800",slider,0_10_1,How typical is this orientation?,shark,801,48,"16.68",1374602,"10",1959,10
284,test,shark_5,.png,"800",slider,0_10_1,How typical is this orientation?,shark,801,48,"16.68",1388931,"10",13520,10
285,test,bat_1,.png,"800",slider,0_10_1,How typical is this orientation?,bat,801,48,"16.68",1391727,"10",1987,10
286,test,bat_2,.png,"800",slider,0_10_1,How typical is this orientation?,bat,801,48,"16.68",1394899,"9",2357,9
287,test,bat_3,.png,"800",slider,0_10_1,How typical is this orientation?,bat,801,48,"16.68",1397463,"10",1752,10
288,test,bat_4,.png,"800",slider,0_10_1,How typical is this orientation?,bat,801,48,"16.68",1399836,"10",1554,10
289,test,bat_5,.png,"800",slider,0_10_1,How typical is this orientation?,bat,801,48,"16.68",1402700,"10",2051,10
290,test,washer_1,.png,"800",slider,0_10_1,How typical is this orientation?,washer,801,48,"16.68",1406186,"10",2668,10
291,test,washer_2,.png,"800",slider,0_10_1,How typical is this orientation?,washer,801,48,"16.68",1408607,"10",1603,10
292,test,washer_3,.png,"800",slider,0_10_1,How typical is this orientation?,washer,799,48,"16.64",1412900,"9",3478,9
293,test,washer_4,.png,"800",slider,0_10_1,How typical is this orientation?,washer,801,48,"16.68",1416096,"9",2387,9
294,test,washer_5,.png,"800",slider,0_10_1,How typical is this orientation?,washer,801,48,"16.68",1418852,"8",1941,8
295,test,tiger_1,.png,"800",slider,0_10_1,How typical is this orientation?,tiger,801,48,"16.68",1424820,"10",5157,10
296,test,tiger_2,.png,"800",slider,0_10_1,How typical is this orientation?,tiger,801,48,"16.68",1427591,"10",1954,10
297,test,tiger_3,.png,"800",slider,0_10_1,How typical is this orientation?,tiger,801,48,"16.68",1430682,"4",2277,4
298,test,tiger_4,.png,"800",slider,0_10_1,How typical is this orientation?,tiger,801,48,"16.68",1433696,"10",2203,10
299,test,tiger_5,.png,"800",slider,0_10_1,How typical is this orientation?,tiger,801,48,"16.68",1437122,"10",2613,10
300,test,wrench_1,.png,"800",slider,0_10_1,How typical is this orientation?,wrench,801,48,"16.68",1439832,"9",1886,9
301,test,wrench_2,.png,"800",slider,0_10_1,How typical is this orientation?,wrench,801,48,"16.68",1442171,"10",1522,10
302,test,wrench_3,.png,"800",slider,0_10_1,How typical is this orientation?,wrench,801,48,"16.68",1444654,"10",1671,10
303,test,wrench_4,.png,"800",slider,0_10_1,How typical is this orientation?,wrench,801,48,"16.68",1446994,"10",1524,10
304,test,wrench_5,.png,"800",slider,0_10_1,How typical is this orientation?,wrench,801,48,"16.68",1450502,"6",2699,6
