subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration,id,age,sex,handedness,fps_start,fps_M,fps_SD
"3",Chrome,85.0.4183.83,1440,900,MacOS,en-US,2020-09-04_03:45:26,2020-09-03_20:45:26,https://www.testable.org/experiment/4629/578421/start,0.9,"913842135","21",female,left-handed,"60.00","58.97","0.89"

rowNo,subjectGroup,type,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,block,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
2,"0",form,"","","","","","",dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,"","","","","","1","","","","","1",,"","","","","",79213,White,5972,"5"
3,"0",form,"","","","","","",dropdown,yes;no,Do you identify as Hispanic,"","","","","","1","","","","","1",,"","","","","",79213,no,5972,"2"
111,"3",test,door_1,.png,doorA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,congruent,inanimate,door,"",700,0,0,"401","24","16.73",143057,"2",2146,""
119,"3",test,bicycle_1,.png,bicycleA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,congruent,inanimate,bicycle,"",700,42,"16.67","400","24","16.67",145495,"2",1484,""
123,"3",test,bird_1,.png,birdA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,congruent,animate,bird,"",700,42,"16.67","400","24","16.67",147607,"1",1194,""
127,"3",test,camera_1,.png,cameraA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,congruent,inanimate,camera,"",700,42,"16.67","400","24","16.67",149804,"2",1267,""
124,"3",test,elephant_1,.png,hammerA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,incongruent,animate,elephant,"",701,42,"16.67","400","24","16.67",151869,"1",1144,""
131,"3",test,bear_1,.png,bearA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,congruent,animate,bear,"",700,42,"16.68","400","24","16.67",153908,"1",1115,""
120,"3",test,drill_1,.png,penguinA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,incongruent,inanimate,drill,"",700,42,"16.67","400","24","16.67",156137,"2",1294,""
106,"3",test,washer_2,.png,noise8.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,control,inanimate,washer,"",700,42,"16.67","400","24","16.67",158415,"2",1358,""
117,"3",test,bat_1,.png,batA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,congruent,animate,bat,"",700,42,"16.67","400","24","16.67",160493,"1",1166,""
105,"3",test,scissors_1,.png,noise12.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,control,inanimate,scissors,"",700,42,"16.67","400","24","16.67",162421,"2",968,""
112,"3",test,horse_1,.png,scissorsA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,incongruent,animate,horse,"",700,42,"16.67","400","24","16.67",164516,"1",1182,""
93,"3",test,piano_1,.png,noise14.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,control,inanimate,piano,"",700,42,"16.67","400","24","16.67",166791,"2",1314,""
109,"3",test,jet_1,.png,elephantA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,incongruent,inanimate,jet,"",700,42,"16.67","400","24","16.67",170207,"2",2483,""
100,"3",test,cymbal_ride_2,.png,cymbal_rideA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,congruent,inanimate,cymbal_ride,"",701,42,"16.67","400","24","16.67",172276,"2",1145,""
133,"3",test,saw_1,.png,noise13.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,control,inanimate,saw,"",700,42,"16.68","400","24","16.67",174254,"2",1009,""
98,"3",test,snake_1,.png,noise3.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,control,animate,snake,"",700,42,"16.67","400","24","16.67",176387,"1",1216,""
104,"3",test,frog_1,.png,smartphoneA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,incongruent,animate,frog,"",700,42,"16.67","400","24","16.67",178848,"1",1544,""
130,"3",test,crocodile_2,.png,crocodileA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,congruent,animate,crocodile,"",700,42,"16.67","400","24","16.67",180773,"1",990,""
