subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration,id,age,sex,handedness,fps_start,fps_M,fps_SD
"1",Chrome,85.0.4183.83,1280,800,MacOS,en-US,2020-09-04_19:49:59,2020-09-04_12:49:59,https://www.testable.org/experiment/4629/578421/start,1,"915347528","22",female,right-handed,"59.98","58.97","0.97"

rowNo,subjectGroup,type,block,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
2,"0",form,"","","","","","","",dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,"","","","","","1","","","","1",,"","","","","",80008,Asian,6809,"2"
3,"0",form,"","","","","","","",dropdown,yes;no,Do you identify as Hispanic,"","","","","","1","","","","1",,"","","","","",80008,no,6809,"2"
18,"1",test,encoding,smartphone_2,.png,smartphoneA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,smartphone,"",700,0,0,"393","24","16.36",137344,"2",1380,""
13,"1",test,encoding,penguin_1,.png,penguinA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,penguin,"",700,42,"16.67","400","24","16.67",139291,"1",979,""
45,"1",test,encoding,jet_1,.png,noise10.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,jet,"",700,42,"16.67","400","24","16.67",141866,"2",1604,""
35,"1",test,encoding,bell_5,.png,dogA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,bell,"",700,42,"16.67","400","24","16.67",143702,"2",887,""
25,"1",test,encoding,cat_1,.png,doorA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,cat,"",700,42,"16.67","400","24","16.67",145739,"1",1078,""
39,"1",test,encoding,frog_1,.png,noise4.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,frog,"",700,42,"16.67","400","24","16.67",148009,"1",1298,""
14,"1",test,encoding,leopard_1,.png,leopardA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,leopard,"",700,42,"16.67","400","24","16.67",149545,"1",582,""
32,"1",test,encoding,camera_1,.png,frogA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,camera,"",700,42,"16.67","400","24","16.67",151548,"2",1046,""
44,"1",test,encoding,keyboard_2,.png,noise9.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,keyboard,"",700,42,"16.67","400","24","16.67",153652,"2",1101,""
36,"1",test,encoding,horse_1,.png,noise1.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,horse,"",700,42,"16.67","400","24","16.67",155484,"1",913,""
37,"1",test,encoding,goose_1,.png,noise2.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,goose,"",708,42,"16.67","400","24","16.67",157440,"1",1042,""
11,"1",test,encoding,rat_1,.png,ratA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,rat,"",700,42,"16.84","400","24","16.67",159328,"1",944,""
17,"1",test,encoding,stapler_1,.png,staplerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,stapler,"",700,42,"16.67","400","24","16.67",161191,"2",862,""
29,"1",test,encoding,door_1,.png,hammerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,door,"",700,42,"16.67","400","24","16.67",163072,"2",967,""
41,"1",test,encoding,dog_2,.png,noise6.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,dog,"",700,42,"16.67","400","24","16.67",164822,"1",808,""
9,"1",test,encoding,tiger_1,.png,tigerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,tiger,"",700,42,"16.67","400","24","16.67",166761,"1",1002,""
8,"1",test,encoding,wolf_1,.png,wolfA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,wolf,"",700,42,"16.67","400","24","16.67",169019,"1",1314,""
34,"1",test,encoding,bicycle_1,.png,deerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,bicycle,"",700,42,"16.67","400","24","16.67",170680,"2",725,""
15,"1",test,encoding,washer_2,.png,washerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,washer,"",700,42,"16.67","400","24","16.67",172397,"2",799,""
47,"1",test,encoding,guitar_3,.png,noise12.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,guitar,"",700,42,"16.67","400","24","16.67",174075,"2",738,""
26,"1",test,encoding,bird_1,.png,hammerA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,bird,"",700,42,"16.67","400","24","16.67",175610,"1",799,""
28,"1",test,encoding,bat_1,.png,drumA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,bat,"",700,42,"16.67","400","24","16.66",177391,"1",780,""
33,"1",test,encoding,boat_1,.png,elephantA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,boat,"",700,42,"16.67","400","24","16.67",179146,"2",792,""
20,"1",test,encoding,saw_1,.png,sawA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,saw,"",700,42,"16.67","400","24","16.67",180857,"2",761,""
49,"1",test,encoding,drill_1,.png,noise14.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,drill,"",700,42,"16.67","400","24","16.67",182826,"2",1064,""
46,"1",test,encoding,hammer_3,.png,noise11.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,hammer,"",700,42,"16.67","400","24","16.67",184585,"2",856,""
43,"1",test,encoding,motorcycle_1,.png,noise8.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,motorcycle,"",700,42,"16.67","400","24","16.67",186704,"2",1184,""
12,"1",test,encoding,pig_3,.png,pigA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,pig,"",700,42,"16.67","401","24","16.72",188332,"1",717,""
22,"1",test,encoding,crocodile_2,.png,horseA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,crocodile,"",700,42,"16.67","400","24","16.67",189737,"1",507,""
48,"1",test,encoding,drum_2,.png,noise13.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,inanimate,drum,"",700,42,"16.67","400","24","16.67",191367,"2",702,""
10,"1",test,encoding,snake_1,.png,snakeA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,animate,snake,"",700,42,"16.67","400","24","16.67",193062,"1",679,""
42,"1",test,encoding,deer_4,.png,noise7.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,deer,"",700,42,"16.67","400","24","16.67",194680,"1",663,""
31,"1",test,encoding,car_3,.png,goatA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,car,"",700,42,"16.67","400","24","16.67",196807,"2",1148,""
27,"1",test,encoding,bear_1,.png,guitarA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,bear,"",700,42,"16.67","403","24","16.78",198575,"1",763,""
38,"1",test,encoding,goat_3,.png,noise3.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,goat,"",700,42,"16.67","400","24","16.67",200281,"1",728,""
21,"1",test,encoding,piano_1,.png,pianoA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,piano,"",700,42,"16.67","400","24","16.67",201843,"2",674,""
40,"1",test,encoding,elephant_1,.png,noise5.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",control,animate,elephant,"",700,42,"16.67","400","24","16.67",203522,"1",695,""
19,"1",test,encoding,scissors_1,.png,scissorsA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,scissors,"",700,42,"16.67","400","24","16.67",205185,"2",720,""
23,"1",test,encoding,cow_2,.png,motorcycleA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,cow,"",700,42,"16.67","400","24","16.67",206710,"1",614,""
30,"1",test,encoding,cymbal_ride_2,.png,gooseA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,inanimate,cymbal_ride,"",700,42,"16.67","400","24","16.67",208326,"2",686,""
24,"1",test,encoding,chicken_1,.png,keyboardA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",incongruent,animate,chicken,"",700,42,"16.67","400","24","16.67",209933,"1",704,""
16,"1",test,encoding,train_1,.png,trainA.mp3,"1","400","700","","","",animate image,inanimate image,"","","","",congruent,inanimate,train,"",700,42,"16.67","400","24","16.67",211690,"2",774,""
142,"1",test,recognition,watering_can_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,inanimate,watering_can,"",700,42,"16.67","400","24","16.67",252335,"4",3046,""
174,"1",test,recognition,car_3,.png,"","4","400","700","","","",same,different,nonsense,new,"","",incongruent,inanimate,car,"",700,42,"16.67","400","24","16.67",256709,"3",3667,""
178,"1",test,recognition,walkie_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,inanimate,walkie,"",700,42,"16.67","400","24","16.67",259562,"4",2154,""
167,"1",test,recognition,smartphone_2,.png,"","4","400","700","","","",same,different,nonsense,new,"","",congruent,inanimate,smartphone,"",700,42,"16.67","400","24","16.67",261811,"4",1548,""
143,"1",test,recognition,record_player_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,inanimate,record_player,"",700,42,"16.67","400","24","16.67",264247,"1",1736,""
139,"1",test,recognition,motorcycle_1,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,inanimate,motorcycle,"",700,42,"16.67","400","24","16.67",267445,"1",2498,""
166,"1",test,recognition,whale_5,.png,"","4","400","700","","","",same,different,nonsense,new,"","",new,animate,whale,"",700,42,"16.67","400","24","16.67",269521,"4",1374,""
181,"1",test,recognition,deer_4,.png,"","4","400","700","","","",same,different,nonsense,new,"","",control,animate,deer,"",700,42,"16.67","400","24","16.67",271511,"1",1292,""
